cat_id,cat_nombre,slug_carpeta,hero_archivo,hero_url_nueva,total_imgs_desc,todas_imagenes
28,"&#x1f947;Cursos bonificados de Refrigerantes y gases fluorados",cursos-bonificados-de-refrigerantes-y-gases-fluorados,manipulacion-gases-refrigerantes.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-refrigerantes-y-gases-fluorados/manipulacion-gases-refrigerantes.jpg,3,"manipulacion-gases-refrigerantes.jpg | Diploma-acreditativo-Manipulacion-equipos-frigorificos-refrigerantes-fluorados.png | Diploma-refrigerantes-y-gases-fluorados-2023.png"
29,"&#x1f947;Cursos bonificados de Retoque fotográfico y Diseño editorial",cursos-bonificados-de-retoque-fotogr-fico-y-dise-o-editorial,DisenoEditorial.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-retoque-fotogr-fico-y-dise-o-editorial/DisenoEditorial.png,2,"DisenoEditorial.png | disenador-grafico-jpg.png"
30,"&#x1f947;Cursos bonificados de Sanidad",cursos-bonificados-de-sanidad,SanidadPrincipal.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-sanidad/SanidadPrincipal.png,3,"SanidadPrincipal.png | Diploma-acreditativo-Sanidad.png | Diploma-sanidad-2023.png"
31,"&#x1f947;Cursos bonificados de Sanitarios",cursos-bonificados-de-sanitarios,Sanitarios.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-sanitarios/Sanitarios.png,3,"Sanitarios.png | Diploma-acreditativo-sanitarios.png | Diploma-sanitarios-2023.png"
32,"&#x1f947;Cursos bonificados de Seguridad Alimentaria",cursos-bonificados-de-seguridad-alimentaria,AlergiasAlimentarias.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-seguridad-alimentaria/AlergiasAlimentarias.png,3,"AlergiasAlimentarias.png | Diploma-acreditativo-Seguridad-Alimentaria.png | Diploma-Seguridad-Alimentaria-2023.png"
140,"&#x1f947;Cursos Bonificados de Servicios Sociales online",cursos-bonificados-de-servicios-sociales-online,Servicios-sociales.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-servicios-sociales-online/Servicios-sociales.jpg,3,"Servicios-sociales.jpg | Diploma-acreditativo-Servicios-Sociales.png | Diploma-Servicios-Sociales-2023.png"
33,"&#x1f947;Cursos bonificados de Sistemas de Gestión - Normas ISO",cursos-bonificados-de-sistemas-de-gesti-n-normas-iso,GestionNormasISO.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-sistemas-de-gesti-n-normas-iso/GestionNormasISO.png,3,"GestionNormasISO.png | Diploma-acreditativo-gestion-normas-iso.png | Diploma-gestion-normas-iso-2023.png"
155,"&#x1f947;Cursos bonificados de Sonido online",cursos-bonificados-de-sonido-online,Sonido.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-sonido-online/Sonido.jpg,3,"Sonido.jpg | Diploma-acreditativo-Sonido.png | Diploma-Sonido-2023.png"
156,"&#x1f947;Cursos bonificados de Telecomunicaciones online",cursos-bonificados-de-telecomunicaciones-online,Telecomunicaciones.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-telecomunicaciones-online/Telecomunicaciones.jpg,3,"Telecomunicaciones.jpg | Diploma-acreditativo-Telecomunicaciones .png | Diploma-Telecomunicaciones-2023.png"
161,"&#x1f947;Cursos bonificados de Telemarketing online",cursos-bonificados-de-telemarketing-online,Telemarketing.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-telemarketing-online/Telemarketing.jpg,3,"Telemarketing.jpg | Diploma-acreditativo-Telemarketing.png | Diploma-Telemarketing-2023.png"
68,"&#x1f947;Cursos Bonificados de Teletrabajo",cursos-bonificados-de-teletrabajo,TeletrabajoORG.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-teletrabajo/TeletrabajoORG.png,2,"TeletrabajoORG.png | TeletrabajoSecundariaORG.png"
144,"&#x1f947;Cursos Bonificados de Terapia Ocupacional online",cursos-bonificados-de-terapia-ocupacional-online,Terapia-Ocupacional.jpg,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-terapia-ocupacional-online/Terapia-Ocupacional.jpg,3,"Terapia-Ocupacional.jpg | Diploma-acreditativo-Terapia-Ocupacional.png | Diploma-Terapia-Ocupacional-2023.png"
34,"&#x1f947;Cursos bonificados de TPC",cursos-bonificados-de-tpc,TPCC.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-tpc/TPCC.png,3,"TPCC.png | Diploma-acreditativo-TPC.png | Diploma-TPC-2023.png"
145,"&#x1f947;Cursos Bonificados de Trabajo Social online",cursos-bonificados-de-trabajo-social-online,TrabajoSocial.png,https://dev.ciberaula.org/images/categorias/cursos-bonificados-de-trabajo-social-online/TrabajoSocial.png,3,"TrabajoSocial.png | Diploma-acreditativo-Trabajo-Social.png | Diploma-Trabajo-Social-2023.png"
